temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
231,26.6518345,28.1230946,26.1667747,27.6322441
232,26.6424274,28.117363,26.1669159,27.6188164
233,26.6448059,28.1193199,26.1958447,27.6104527
234,26.643322,28.1074085,26.2119503,27.6511803
235,26.6528931,28.1377506,26.2570877,27.6502285
236,26.6703625,28.1388969,26.264761,27.6454182
237,26.6623554,28.1342831,26.2845345,27.6357689
238,26.6509895,28.1291389,26.3284454,27.6465378
239,26.6539288,28.0822544,26.3457527,27.6432934
240,26.656002,28.0825634,26.3878403,27.6442432
241,26.6700554,28.0703735,26.388792,27.630846
242,26.6609287,28.0722179,26.3963814,27.6232109
243,26.6517181,28.0680237,26.39711,27.6311817
244,26.6503735,28.0655632,26.418335,27.6331959
245,26.6578484,28.0680809,26.4433117,27.6365509
246,26.6411076,28.0669346,26.4003849,27.6423416
247,26.6418629,28.0723305,26.3527241,27.6372795
248,26.6547413,28.060812,26.3008881,27.6272373
249,26.646595,28.067522,26.2542324,27.6246643
250,26.6477146,28.064558,26.2306213,27.6409149
251,26.6454182,28.0774746,26.1976299,27.6257839
252,26.6501789,28.0802135,26.1842976,27.6507664
253,26.6748428,28.1189842,26.188961,27.6617584
254,26.6680126,28.1242409,26.2040005,27.6600513
255,26.6792393,28.1282387,26.2098255,27.6557732
256,26.6761589,28.1272316,26.1902771,27.6477165
257,26.6761875,28.1402321,26.2229614,27.6475773
258,26.6774178,28.1455994,26.265419,27.622097
259,26.6636448,28.1419659,26.3040943,27.6194115
260,26.664484,28.1423283,26.3252659,27.5898743
261,26.6526985,28.1412659,26.3715839,27.603775
262,26.671484,28.1433907,26.3422928,27.5781536
263,26.6663036,28.1563625,26.3355999,27.5837212
264,26.6676769,28.1585426,26.331007,27.5945168
265,26.6665001,28.148283,26.3301392,27.589035
266,26.653286,28.1530914,26.3070354,27.5868263
267,26.6640358,28.1521969,26.271944,27.5920277
268,26.6702232,28.1578159,26.2672672,27.5849495
